term,estimate,std.error,statistic,p.value,model
Survey 2,3.83,2.49,1.54,0.12,Approves
Survey 2,4.22,1.99,2.12,0.034,Disapproves
Survey 3,3.15,1.28,2.45,0.014,Approves
Survey 3,1.47,1.19,1.23,0.22,Disapproves
