term,estimate,std.error,statistic,p.value,model
Survey 2,0.3,0.11,2.72,0.007,Approves
Survey 2,0.25,0.13,1.86,0.064,Disapproves
Survey 3,0.011,0.061,0.19,0.85,Approves
Survey 3,-0.001,0.076,-0.02,0.985,Disapproves
